Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
3940000.0 ; 2.036679
3960000.0 ; 2.000679
3980000.0 ; 1.965679
4000000.0 ; 1.932079
4010000.0 ; 1.915979
4020000.0 ; 1.900379
4030000.0 ; 1.885478
4040000.0 ; 1.871378
4050000.0 ; 1.858078
4053000.0 ; 1.854478
4060000.0 ; 1.845878
4070000.0 ; 1.834978
4080000.0 ; 1.825478
4090000.0 ; 1.817978
4100000.0 ; 1.812578
4110000.0 ; 1.809778
4120000.0 ; 1.810278
4130000.0 ; 1.814478
4140000.0 ; 1.823278
4150000.0 ; 1.837178
4160000.0 ; 1.857178
4170000.0 ; 1.883878
4180000.0 ; 1.917477
4190000.0 ; 1.957877
4200000.0 ; 2.004277
4210000.0 ; 2.054877
4220000.0 ; 2.106577
4230000.0 ; 2.155877
4240000.0 ; 2.198777
4250000.0 ; 2.231877
4260000.0 ; 2.252777
4270000.0 ; 2.260877
4280000.0 ; 2.256777
4290000.0 ; 2.242177
4300000.0 ; 2.219477
4310000.0 ; 2.190877
4320000.0 ; 2.158477
4330000.0 ; 2.123976
4340000.0 ; 2.088576
4350000.0 ; 2.053376
4360000.0 ; 2.018876
4370000.0 ; 1.985376
4380000.0 ; 1.953276
4390000.0 ; 1.922576
4400000.0 ; 1.893276
4420000.0 ; 1.838976
4440000.0 ; 1.789876
4460000.0 ; 1.745376
4480000.0 ; 1.704876
4500000.0 ; 1.667675
4520000.0 ; 1.633275
4540000.0 ; 1.601475
4553000.0 ; 1.582175
4560000.0 ; 1.571675
4580000.0 ; 1.543775
4600000.0 ; 1.517475
4620000.0 ; 1.492474
4640000.0 ; 1.468774
4660000.0 ; 1.446174
4680000.0 ; 1.424474
4700000.0 ; 1.403574
4720000.0 ; 1.383374
4740000.0 ; 1.363873
4760000.0 ; 1.344773
4780000.0 ; 1.326173
4800000.0 ; 1.307773
4810000.0 ; 1.298573
4812000.0 ; 1.296673
4812089.0 ; 1.296573
4820000.0 ; 1.287669
4850000.0 ; 1.260003
4899900.0 ; 1.223016
4900000.0 ; 1.222979
4919400.0 ; 1.238662
4920000.0 ; 1.242827
4930000.0 ; 1.310692
4934500.0 ; 1.341525
4935500.0 ; 1.719332
4936700.0 ; 1.967061
4938500.0 ; 1.940655
4939500.0 ; 1.737162
4940000.0 ; 1.693866
4943200.0 ; 1.417228
4948100.0 ; 1.277645
4950000.0 ; 1.263948
4954600.0 ; 1.230141
4958400.0 ; 1.207183
4980000.0 ; 1.16206
4990000.0 ; 1.141205
5000000.0 ; 1.120351
5001000.0 ; 1.132431
5030000.0 ; 1.117621
5053000.0 ; 1.115501
5100000.0 ; 1.09193
5120000.0 ; 1.04887
5150000.0 ; 1.06304
5180000.0 ; 1.043219
5200000.0 ; 1.020759
5230000.0 ; 1.004789
5280000.0 ; 0.965438
5300000.0 ; 0.9571677
5330000.0 ; 0.9328674
5335000.0 ; 0.9630673
